SUM of funding_total_usd,,status,,,,
country_code,region,acquired,closed,ipo,operating,Grand Total
USA,Peoria,,1125000,40000000,42435473,83560473
USA,Philadelphia,1529509227,959133864,2504827970,3549666930,8543137991
USA,Phoenix,159202624,418254265,625645974,1723548436,2926651299
USA,Pittsburgh,305158615,166324139,127685000,1826100855,2425268609
USA,"Portland, Maine",18600000,7184907,,305667870,331452777
USA,"Portland, Oregon",402391677,177063818.2,791266460,2868067172,4238789127
USA,Portsmouth,74000001,50018983,6260000,84903204,215182188
USA,Providence,181875004,8163006,107500002,617710552,915248564
USA,Raleigh,1934957979,411323487,2411614313,3029473586,7787369365
USA,Reno - Sparks,,156000000,,78255999,234255999
USA,RI - Other,,,,1350000,1350000
USA,Richmond,5449999,26325000,64990999,600414116,697180114
USA,Roanoke,21615002,92525372,344000000,144366603,602506977
USA,"Rochester, Minnesota",16000000,,,27470200,43470200
USA,"Rochester, New York",16000000,27250000,43162048,2794549466,2880961514
USA,Rockford,75000000,0,,3535000,78535000
USA,Roswell,,,,10000,10000
USA,Sacramento,193223358,22260852,230232200,744334195,1190050605
USA,Sacramento Valley,54321090,,1500000,13525436,69346526
USA,"Salem, Oregon",,0,,20417496,20417496
USA,Salisbury,,,,29410000,29410000
USA,Salt Lake City,1215480622,281452111,833264437,4098096278,6428293448
USA,San Antonio,116944611,82488944,76500000,508739002,784672557
USA,San Diego,3345716217,1706829032,4729692451,8883072077,18665309777
USA,San Luis Obispo,12400000,0,108869760,55296035,176565795
USA,Santa Barbara,614400000,34082820,406723234,1787315864,2842521918
USA,Sarasota - Bradenton,14000000,14108000,31633333,204325494,264066827
USA,Savannah,,,475000,1325000,1800000
USA,SC - Other,500000,13500000,169500000,534222970,717722970
USA,Scranton,,,,77300633,77300633
USA,SD - Other,,0,,13747281,13747281
USA,Seattle,9001713308,1471654237,3431943910,9932196063,23837507518
USA,Seminole,,,,4847000,4847000
USA,SF Bay Area,33260391880,9753740845,29834731579,123581479220,196430343524
USA,Shreveport,3000000,,,18300000,21300000
USA,Sioux Falls,,,,78574399,78574399
USA,South Bend,,50000,,125115593,125165593
USA,Spokane,147100000,350000,3200000,14966675,165616675
USA,Springfield,,,,10575000,10575000
USA,"Springfield, Illinois",43800000,10603516,,52349408,106752924
USA,St. Cloud,,57200000,,28670000,85870000
USA,St. Louis,700510516,25225000,1797265625,1217959519,3740960660
USA,State College,12000000,,,2250000,14250000
USA,Syracuse,,36000,,21808261,21844261
USA,Tallahassee,2000000,,,2558000,4558000
USA,Tampa,219599701,44380000,14050002,907519003,1185548706
USA,TN - Other,,4000000,28000000,69818311,101818311
USA,Toledo,2250000,40015000,,11956500,54221500
USA,Topeka,,,,13500000,13500000
USA,Traverse City,,,,25660036,25660036
USA,Trenton,,,,54460000,54460000
USA,Tucson,81649940,14140433,119450121,160951308,376191802
USA,Tulsa,0,1625000,79326280,379558283,460509563
USA,Tupelo,,,,5425000,5425000
USA,TX - Other,65000000,,,208800788.9,273800788.9
USA,UT - Other,,3050000,,166541471,169591471
USA,VA - Other,1400000,10000000,150000000,180614300,342014300
USA,Vail,,1900000,,8617500,10517500
USA,VT - Other,6000000,50000,37000000,238434642,281484642
USA,WA - Other,10000000,,2900000,80970203,93870203
USA,"Washington, D.C.",3740375820,496802580.3,2934816544,10474524969,17646519914
USA,WI - Other,42873000,41500000,10924534,191597854,286895388
USA,Wichita,0,,,17643892,17643892
USA,"Wilmington - Cape Fear, North Carolina",,20596287,,79677502,100273789
USA,"Wilmington, Delaware",24569323,3225000,58848823,500264216,586907362
USA,Winston-Salem,70202607,518885,155464483,49899825,276085800
USA,Worcester,92099860,8615000,683377152,1318388089,2102480101
USA,WV - Other,,1000000,52800000,11610253,65410253
USA,WY - Other,,,,17605984,17605984
USA,Youngstown,49600000,2750,,707000,50309750
USA Total,,111470832118,31787681878,160782908458,365452636365,669494058819
UZB,Tashkent,,,,90000,90000
UZB Total,,,,,90000,90000
VEN,,,,,225198,225198
VEN,COL - Other,,,,2417236,2417236
VEN Total,,,,,2642434,2642434
VNM,,,,,92910000,92910000
VNM,Hanoi,,2600000,,138660000,141260000
VNM,Ho Chi Minh,200000,3500000,,158920509,162620509
VNM,VNM - Other,,,,4390000,4390000
VNM Total,,200000,6100000,,394880509,401180509
ZAF,,,,,0,0
ZAF,Cape Town,45680000,630000,,601017071,647327071
ZAF,Durban,,,,0,0
ZAF,Johannesburg,0,804176.9882,,87680832,88485008.99
ZAF,ZAF - Other,,,,339000000,339000000
ZAF Total,,45680000,1434176.988,,1027697903,1074812080
ZMB,ZMB - Other,,,,520000,520000
ZMB Total,,,,,520000,520000
ZWE,Harare,,,,10030000,10030000
ZWE,ZWE - Other,,,,0,0
ZWE Total,,,,,10030000,10030000
Grand Total,,135523673669,53530705545,209961181618,591123479302,990139040134
